W,Date,Map,Player 1,Player 2,Player 3,Player 4,Starting Side,First P,Second P,Halftime,Scoreline,Kills,Deaths,Win = 1,ELO,
1,9/2/2019,Overpass,Jaret,Simon,Adam,Matt,T,1,0,14-1,16-6,19,16,1,800,
2,9/2/2019,Mirage,Jaret,Simon,Adam,Matt,CT,1,1,14-1,16-1,18,3,1,847,
3,9/2/2019,Cache,Jaret,Simon,Adam,Matt,CT,1,1,12-3,16-3,25,12,1,897,
4,9/2/2019,Mirage,Jaret,Aidan,Anthony,Ryan,CT,1,0,9-6,15-15,26,22,2,n/a,
5,9/2/2019,Inferno,Jaret,Aidan,Anthony,Adam,CT,1,0,7-8,16-14,16,25,1,n/a,
6,9/2/2019,Mirage,Jaret,Aidan,Anthony,Adam,CT,1,0,7-8,16-7,23,17,1,n/a,
7,9/3/2019,Mirage,Jaret,Adam,Matt,Kat,CT,0,1,11-4,16-4,18,11,1,931,
8,9/3/2019,Overpass,Jaret,Adam,Matt,Kat,T,1,1,11-4,16-5,21,14,1,970,
9,9/6/2019,Mirage,Jaret,Adam,Matt,Kat,CT,1,0,9-6,14-16,12,21,0,927,
10,9/6/2019,Mirage,Jaret,Adam,Matt,Kat,CT,1,1,7-8,16-14,19,19,1,955,
11,9/6/2019,Dust,Jaret,Adam,Matt,Kat,CT,1,1,7-8,16-10,23,15,1,1017,
12,9/6/2019,Inferno,Jaret,Adam,Matt,Kat,CT,1,1,7-8,16-11,19,18,1,1032,
13,9/6/2019,Inferno,Jaret,Adam,Matt,Kat,CT,1,1,7-8,16-11,19,18,1,1057,
14,9/7/2019,Mirage,Jaret,Adam,Aidan,David,T,1,1,4-11,6-16,21,18,0,n/a,
15,9/7/2019,Overpass,Jaret,Adam,Aidan,David,T,0,0,4-11,8-16,25,19,0,n/a,
16,9/8/2019,Inferno,Adam,Random,Random,Random,T,1,1,9-6,16-10,22,15,1,1076,
17,9/8/2019,Mirage,Jaret,Adam,Aidan,David,CT,1,0,6-9,7-17,11,18,0,n/a,
18,9/8/2019,Train,Jaret,Adam,Aidan,David,T,0,1,6-9,15-15,26,19,2,n/a,
19,9/8/2019,Inferno,Jaret,Adam,Aidan,David,T,1,0,9-6,14-16,21,19,0,n/a,
20,9/10/2019,Inferno,Jaret,Adam,Aidan,Simon,CT,1,0,12-3,16-7,18,13,1,n/a,
21,9/10/2019,Mirage,Jaret,Adam,Ryan,Aidan,CT,0,0,2-13,5-16,18,17,0,n/a,
22,9/10/2019,Mirage,Jaret,Adam,Ryan,Matt,CT,1,1,10-5,16-5,17,9,1,n/a,
23,9/10/2019,Mirage,Jaret,Adam,Ryan,Matt,CT,1,0,11-4,16-8,21,18,1,n/a,
24,9/11/2019,Overpass,Matt,Adam,David,Black Matt,CT,0,1,8-7,15-15,21,17,2,n/a,
25,9/11/2019,Cache,Jaret,Adam,Kat,Simon,T,1,1,11-4,16-5,31,15,1,n/a,
26,9/12/2019,Mirage,Jaret,Adam,Kat,Matt,CT,1,1,9-6,16-9,26,15,1,n/a,
27,9/12/2019,Mirage,Jaret,Adam,Kat,Matt,CT,1,1,6-9,13-16,20,21,0,1069,
28,9/13/2019,Inferno,Jaret,Adam,Kat,Aidan,T,1,1,11-4,16-7,23,13,1,1081, 
29,9/13/2019,Overpass,Jaret,Adam,Kat,Aidan,CT,0,0,7-8,16-13,17,22,1,1116,
30,9/13/2019,Inferno,Jaret,Adam,Kat,Aidan,CT,1,1,6-9,19-17,28,25,1,1160,
